pair_id,image_id_1,image_id_2,group_id_1,group_id_2,category_id_1,category_id_2,category_1,category_2,split,label,pair_type,negative_type
DS1_IMG_000001__DS1_IMG_000002,DS1_IMG_000001,DS1_IMG_000002,IMG_0424-1-_ee300501,IMG_0424-1-_ee300501,0,0,Bracelet,Bracelet,train,1,positive,
DS1_IMG_000001__DS1_IMG_000003,DS1_IMG_000001,DS1_IMG_000003,IMG_0424-1-_ee300501,IMG_0424-1-_ee300501,0,0,Bracelet,Bracelet,train,1,positive,
DS1_IMG_000001__DS1_IMG_001130,DS1_IMG_000001,DS1_IMG_001130,IMG_0424-1-_ee300501,earring_267,0,1,Bracelet,Earrings,train,0,negative,cross_category
DS1_IMG_000001__DS1_IMG_001842,DS1_IMG_000001,DS1_IMG_001842,IMG_0424-1-_ee300501,IMG_0520_2e644d1c,0,2,Bracelet,Necklace,train,0,negative,cross_category
DS1_IMG_000001__DS1_IMG_003727,DS1_IMG_000001,DS1_IMG_003727,IMG_0424-1-_ee300501,IMG_0842_54be0d37,0,3,Bracelet,Pendant,train,0,negative,cross_category
DS1_IMG_000001__DS1_IMG_003896,DS1_IMG_000001,DS1_IMG_003896,IMG_0424-1-_ee300501,IMG_2894_945d19e5,0,3,Bracelet,Pendant,train,0,negative,cross_category
DS1_IMG_000002__DS1_IMG_000003,DS1_IMG_000002,DS1_IMG_000003,IMG_0424-1-_ee300501,IMG_0424-1-_ee300501,0,0,Bracelet,Bracelet,train,1,positive,
DS1_IMG_000002__DS1_IMG_004057,DS1_IMG_000002,DS1_IMG_004057,IMG_0424-1-_ee300501,Screenshot_20181116-204417_1542449390654,0,4,Bracelet,Ring,train,0,negative,cross_category
DS1_IMG_000004__DS1_IMG_000005,DS1_IMG_000004,DS1_IMG_000005,IMG_0425-1-_0d7c9614,IMG_0425-1-_0d7c9614,0,0,Bracelet,Bracelet,train,1,positive,
DS1_IMG_000004__DS1_IMG_000006,DS1_IMG_000004,DS1_IMG_000006,IMG_0425-1-_0d7c9614,IMG_0425-1-_0d7c9614,0,0,Bracelet,Bracelet,train,1,positive,
DS1_IMG_000004__DS1_IMG_000766,DS1_IMG_000004,DS1_IMG_000766,IMG_0425-1-_0d7c9614,ER10422PL-1_large,0,1,Bracelet,Earrings,train,0,negative,cross_category
DS1_IMG_000005__DS1_IMG_000006,DS1_IMG_000005,DS1_IMG_000006,IMG_0425-1-_0d7c9614,IMG_0425-1-_0d7c9614,0,0,Bracelet,Bracelet,train,1,positive,
DS1_IMG_000005__DS1_IMG_000849,DS1_IMG_000005,DS1_IMG_000849,IMG_0425-1-_0d7c9614,IMG_2503_83eaf2d8,0,1,Bracelet,Earrings,train,0,negative,cross_category
DS1_IMG_000005__DS1_IMG_001976,DS1_IMG_000005,DS1_IMG_001976,IMG_0425-1-_0d7c9614,IMG_0586_952d41e8,0,2,Bracelet,Necklace,train,0,negative,cross_category
DS1_IMG_000005__DS1_IMG_002094,DS1_IMG_000005,DS1_IMG_002094,IMG_0425-1-_0d7c9614,IMG_1299_18b800ce,0,2,Bracelet,Necklace,train,0,negative,cross_category
DS1_IMG_000005__DS1_IMG_002104,DS1_IMG_000005,DS1_IMG_002104,IMG_0425-1-_0d7c9614,IMG_1309_699b4ad9,0,2,Bracelet,Necklace,train,0,negative,cross_category
DS1_IMG_000006__DS1_IMG_001075,DS1_IMG_000006,DS1_IMG_001075,IMG_0425-1-_0d7c9614,earring_219,0,1,Bracelet,Earrings,train,0,negative,cross_category
DS1_IMG_000006__DS1_IMG_001720,DS1_IMG_000006,DS1_IMG_001720,IMG_0425-1-_0d7c9614,IMG_0419_2058b182,0,2,Bracelet,Necklace,train,0,negative,cross_category
DS1_IMG_000007__DS1_IMG_000008,DS1_IMG_000007,DS1_IMG_000008,IMG_0425-1-_ffe4ecb4,IMG_0425-1-_ffe4ecb4,0,0,Bracelet,Bracelet,train,1,positive,
DS1_IMG_000007__DS1_IMG_000009,DS1_IMG_000007,DS1_IMG_000009,IMG_0425-1-_ffe4ecb4,IMG_0425-1-_ffe4ecb4,0,0,Bracelet,Bracelet,train,1,positive,
DS1_IMG_000007__DS1_IMG_001101,DS1_IMG_000007,DS1_IMG_001101,IMG_0425-1-_ffe4ecb4,earring_239,0,1,Bracelet,Earrings,train,0,negative,cross_category
DS1_IMG_000007__DS1_IMG_004283,DS1_IMG_000007,DS1_IMG_004283,IMG_0425-1-_ffe4ecb4,ring_167,0,4,Bracelet,Ring,train,0,negative,cross_category
DS1_IMG_000008__DS1_IMG_000009,DS1_IMG_000008,DS1_IMG_000009,IMG_0425-1-_ffe4ecb4,IMG_0425-1-_ffe4ecb4,0,0,Bracelet,Bracelet,train,1,positive,
DS1_IMG_000008__DS1_IMG_003706,DS1_IMG_000008,DS1_IMG_003706,IMG_0425-1-_ffe4ecb4,IMG_0702_fc96bc4c,0,3,Bracelet,Pendant,train,0,negative,cross_category
DS1_IMG_000009__DS1_IMG_001427,DS1_IMG_000009,DS1_IMG_001427,IMG_0425-1-_ffe4ecb4,images-4-,0,1,Bracelet,Earrings,train,0,negative,cross_category
DS1_IMG_000010__DS1_IMG_000011,DS1_IMG_000010,DS1_IMG_000011,IMG_0428_18d789de,IMG_0428_18d789de,0,0,Bracelet,Bracelet,train,1,positive,
DS1_IMG_000010__DS1_IMG_000012,DS1_IMG_000010,DS1_IMG_000012,IMG_0428_18d789de,IMG_0428_18d789de,0,0,Bracelet,Bracelet,train,1,positive,
DS1_IMG_000010__DS1_IMG_003876,DS1_IMG_000010,DS1_IMG_003876,IMG_0428_18d789de,IMG_2860_b5be60fb,0,3,Bracelet,Pendant,train,0,negative,cross_category
DS1_IMG_000011__DS1_IMG_000012,DS1_IMG_000011,DS1_IMG_000012,IMG_0428_18d789de,IMG_0428_18d789de,0,0,Bracelet,Bracelet,train,1,positive,
DS1_IMG_000011__DS1_IMG_001738,DS1_IMG_000011,DS1_IMG_001738,IMG_0428_18d789de,IMG_0442_7e7a3b25,0,2,Bracelet,Necklace,train,0,negative,cross_category
DS1_IMG_000012__DS1_IMG_001545,DS1_IMG_000012,DS1_IMG_001545,IMG_0428_18d789de,IMG_0157_b671fd42,0,2,Bracelet,Necklace,train,0,negative,cross_category
DS1_IMG_000012__DS1_IMG_002652,DS1_IMG_000012,DS1_IMG_002652,IMG_0428_18d789de,IMG_2216_79cc4ca5,0,2,Bracelet,Necklace,train,0,negative,cross_category
DS1_IMG_000012__DS1_IMG_003080,DS1_IMG_000012,DS1_IMG_003080,IMG_0428_18d789de,IMG_3110_e8631d85,0,2,Bracelet,Necklace,train,0,negative,cross_category
DS1_IMG_000012__DS1_IMG_004280,DS1_IMG_000012,DS1_IMG_004280,IMG_0428_18d789de,ring_166,0,4,Bracelet,Ring,train,0,negative,cross_category
DS1_IMG_000013__DS1_IMG_000014,DS1_IMG_000013,DS1_IMG_000014,IMG_0429_94ddbe5a,IMG_0429_94ddbe5a,0,0,Bracelet,Bracelet,train,1,positive,
DS1_IMG_000013__DS1_IMG_000015,DS1_IMG_000013,DS1_IMG_000015,IMG_0429_94ddbe5a,IMG_0429_94ddbe5a,0,0,Bracelet,Bracelet,train,1,positive,
DS1_IMG_000013__DS1_IMG_002448,DS1_IMG_000013,DS1_IMG_002448,IMG_0429_94ddbe5a,IMG_1583_94401dfd,0,2,Bracelet,Necklace,train,0,negative,cross_category
DS1_IMG_000013__DS1_IMG_003671,DS1_IMG_000013,DS1_IMG_003671,IMG_0429_94ddbe5a,IMG_0391_13077dff,0,3,Bracelet,Pendant,train,0,negative,cross_category
DS1_IMG_000014__DS1_IMG_000015,DS1_IMG_000014,DS1_IMG_000015,IMG_0429_94ddbe5a,IMG_0429_94ddbe5a,0,0,Bracelet,Bracelet,train,1,positive,
DS1_IMG_000015__DS1_IMG_003681,DS1_IMG_000015,DS1_IMG_003681,IMG_0429_94ddbe5a,IMG_0457_cb73a0c4,0,3,Bracelet,Pendant,train,0,negative,cross_category
DS1_IMG_000016__DS1_IMG_000017,DS1_IMG_000016,DS1_IMG_000017,IMG_0430-1-_046d20ce,IMG_0430-1-_046d20ce,0,0,Bracelet,Bracelet,train,1,positive,
