pair_id,image_id_1,image_id_2,group_id_1,group_id_2,category_id_1,category_id_2,category_1,category_2,split,label,pair_type,negative_type
DS1_IMG_000001__DS1_IMG_000002,DS1_IMG_000001,DS1_IMG_000002,IMG_0424-1-_ee300501,IMG_0424-1-_ee300501,0,0,Bracelet,Bracelet,train,1,positive,
DS1_IMG_000001__DS1_IMG_000003,DS1_IMG_000001,DS1_IMG_000003,IMG_0424-1-_ee300501,IMG_0424-1-_ee300501,0,0,Bracelet,Bracelet,train,1,positive,
DS1_IMG_000001__DS1_IMG_001183,DS1_IMG_000001,DS1_IMG_001183,IMG_0424-1-_ee300501,earring_320,0,1,Bracelet,Earrings,train,0,negative,random
DS1_IMG_000001__DS1_IMG_001258,DS1_IMG_000001,DS1_IMG_001258,IMG_0424-1-_ee300501,earring_391,0,1,Bracelet,Earrings,train,0,negative,random
DS1_IMG_000002__DS1_IMG_000003,DS1_IMG_000002,DS1_IMG_000003,IMG_0424-1-_ee300501,IMG_0424-1-_ee300501,0,0,Bracelet,Bracelet,train,1,positive,
DS1_IMG_000002__DS1_IMG_001876,DS1_IMG_000002,DS1_IMG_001876,IMG_0424-1-_ee300501,IMG_0534-1-_2468e128,0,2,Bracelet,Necklace,train,0,negative,random
DS1_IMG_000002__DS1_IMG_003697,DS1_IMG_000002,DS1_IMG_003697,IMG_0424-1-_ee300501,IMG_0602_6d616791,0,3,Bracelet,Pendant,train,0,negative,random
DS1_IMG_000003__DS1_IMG_000194,DS1_IMG_000003,DS1_IMG_000194,IMG_0424-1-_ee300501,IMG_2489_175ae45e,0,0,Bracelet,Bracelet,train,0,negative,random
DS1_IMG_000003__DS1_IMG_001217,DS1_IMG_000003,DS1_IMG_001217,IMG_0424-1-_ee300501,earring_34,0,1,Bracelet,Earrings,train,0,negative,random
DS1_IMG_000003__DS1_IMG_003131,DS1_IMG_000003,DS1_IMG_003131,IMG_0424-1-_ee300501,IMG_3484_3f353f2e,0,2,Bracelet,Necklace,train,0,negative,random
DS1_IMG_000004__DS1_IMG_000005,DS1_IMG_000004,DS1_IMG_000005,IMG_0425-1-_0d7c9614,IMG_0425-1-_0d7c9614,0,0,Bracelet,Bracelet,train,1,positive,
DS1_IMG_000004__DS1_IMG_000006,DS1_IMG_000004,DS1_IMG_000006,IMG_0425-1-_0d7c9614,IMG_0425-1-_0d7c9614,0,0,Bracelet,Bracelet,train,1,positive,
DS1_IMG_000004__DS1_IMG_000570,DS1_IMG_000004,DS1_IMG_000570,IMG_0425-1-_0d7c9614,bracelet_168,0,0,Bracelet,Bracelet,train,0,negative,random
DS1_IMG_000004__DS1_IMG_001120,DS1_IMG_000004,DS1_IMG_001120,IMG_0425-1-_0d7c9614,earring_258,0,1,Bracelet,Earrings,train,0,negative,random
DS1_IMG_000004__DS1_IMG_001234,DS1_IMG_000004,DS1_IMG_001234,IMG_0425-1-_0d7c9614,earring_371,0,1,Bracelet,Earrings,train,0,negative,random
DS1_IMG_000004__DS1_IMG_001420,DS1_IMG_000004,DS1_IMG_001420,IMG_0425-1-_0d7c9614,images-38-,0,1,Bracelet,Earrings,train,0,negative,random
DS1_IMG_000004__DS1_IMG_002738,DS1_IMG_000004,DS1_IMG_002738,IMG_0425-1-_0d7c9614,IMG_2270_884c531c,0,2,Bracelet,Necklace,train,0,negative,random
DS1_IMG_000004__DS1_IMG_002790,DS1_IMG_000004,DS1_IMG_002790,IMG_0425-1-_0d7c9614,IMG_2327_110cc7f5,0,2,Bracelet,Necklace,train,0,negative,random
DS1_IMG_000004__DS1_IMG_003552,DS1_IMG_000004,DS1_IMG_003552,IMG_0425-1-_0d7c9614,necklace_20241125_122545_7c7f79f0,0,2,Bracelet,Necklace,train,0,negative,random
DS1_IMG_000004__DS1_IMG_003680,DS1_IMG_000004,DS1_IMG_003680,IMG_0425-1-_0d7c9614,IMG_0457_cb73a0c4,0,3,Bracelet,Pendant,train,0,negative,random
DS1_IMG_000005__DS1_IMG_000006,DS1_IMG_000005,DS1_IMG_000006,IMG_0425-1-_0d7c9614,IMG_0425-1-_0d7c9614,0,0,Bracelet,Bracelet,train,1,positive,
DS1_IMG_000005__DS1_IMG_002356,DS1_IMG_000005,DS1_IMG_002356,IMG_0425-1-_0d7c9614,IMG_1504_2a4e4e87,0,2,Bracelet,Necklace,train,0,negative,random
DS1_IMG_000006__DS1_IMG_002758,DS1_IMG_000006,DS1_IMG_002758,IMG_0425-1-_0d7c9614,IMG_2296_4743768e,0,2,Bracelet,Necklace,train,0,negative,random
DS1_IMG_000007__DS1_IMG_000008,DS1_IMG_000007,DS1_IMG_000008,IMG_0425-1-_ffe4ecb4,IMG_0425-1-_ffe4ecb4,0,0,Bracelet,Bracelet,train,1,positive,
DS1_IMG_000007__DS1_IMG_000009,DS1_IMG_000007,DS1_IMG_000009,IMG_0425-1-_ffe4ecb4,IMG_0425-1-_ffe4ecb4,0,0,Bracelet,Bracelet,train,1,positive,
DS1_IMG_000007__DS1_IMG_000403,DS1_IMG_000007,DS1_IMG_000403,IMG_0425-1-_ffe4ecb4,bracelet_063,0,0,Bracelet,Bracelet,train,0,negative,random
DS1_IMG_000007__DS1_IMG_000959,DS1_IMG_000007,DS1_IMG_000959,IMG_0425-1-_ffe4ecb4,earring_124,0,1,Bracelet,Earrings,train,0,negative,random
DS1_IMG_000007__DS1_IMG_001540,DS1_IMG_000007,DS1_IMG_001540,IMG_0425-1-_ffe4ecb4,IMG_0145_eac6d841,0,2,Bracelet,Necklace,train,0,negative,random
DS1_IMG_000007__DS1_IMG_002355,DS1_IMG_000007,DS1_IMG_002355,IMG_0425-1-_ffe4ecb4,IMG_1503_7c88ee1e,0,2,Bracelet,Necklace,train,0,negative,random
DS1_IMG_000007__DS1_IMG_004080,DS1_IMG_000007,DS1_IMG_004080,IMG_0425-1-_ffe4ecb4,ring_050,0,4,Bracelet,Ring,train,0,negative,random
DS1_IMG_000008__DS1_IMG_000009,DS1_IMG_000008,DS1_IMG_000009,IMG_0425-1-_ffe4ecb4,IMG_0425-1-_ffe4ecb4,0,0,Bracelet,Bracelet,train,1,positive,
DS1_IMG_000008__DS1_IMG_001004,DS1_IMG_000008,DS1_IMG_001004,IMG_0425-1-_ffe4ecb4,earring_157,0,1,Bracelet,Earrings,train,0,negative,random
DS1_IMG_000008__DS1_IMG_002262,DS1_IMG_000008,DS1_IMG_002262,IMG_0425-1-_ffe4ecb4,IMG_1433_eb6c3a20,0,2,Bracelet,Necklace,train,0,negative,random
DS1_IMG_000009__DS1_IMG_001278,DS1_IMG_000009,DS1_IMG_001278,IMG_0425-1-_ffe4ecb4,earring_416,0,1,Bracelet,Earrings,train,0,negative,random
DS1_IMG_000010__DS1_IMG_000011,DS1_IMG_000010,DS1_IMG_000011,IMG_0428_18d789de,IMG_0428_18d789de,0,0,Bracelet,Bracelet,train,1,positive,
DS1_IMG_000010__DS1_IMG_000012,DS1_IMG_000010,DS1_IMG_000012,IMG_0428_18d789de,IMG_0428_18d789de,0,0,Bracelet,Bracelet,train,1,positive,
DS1_IMG_000011__DS1_IMG_000012,DS1_IMG_000011,DS1_IMG_000012,IMG_0428_18d789de,IMG_0428_18d789de,0,0,Bracelet,Bracelet,train,1,positive,
DS1_IMG_000012__DS1_IMG_001350,DS1_IMG_000012,DS1_IMG_001350,IMG_0428_18d789de,earring_58,0,1,Bracelet,Earrings,train,0,negative,random
DS1_IMG_000012__DS1_IMG_002096,DS1_IMG_000012,DS1_IMG_002096,IMG_0428_18d789de,IMG_1301_a537f31e,0,2,Bracelet,Necklace,train,0,negative,random
DS1_IMG_000013__DS1_IMG_000014,DS1_IMG_000013,DS1_IMG_000014,IMG_0429_94ddbe5a,IMG_0429_94ddbe5a,0,0,Bracelet,Bracelet,train,1,positive,
DS1_IMG_000013__DS1_IMG_000015,DS1_IMG_000013,DS1_IMG_000015,IMG_0429_94ddbe5a,IMG_0429_94ddbe5a,0,0,Bracelet,Bracelet,train,1,positive,
DS1_IMG_000013__DS1_IMG_001137,DS1_IMG_000013,DS1_IMG_001137,IMG_0429_94ddbe5a,earring_272,0,1,Bracelet,Earrings,train,0,negative,random
