image_id,image_path,group_id,category,category_id,split,source
DS1_IMG_000001,train/Bracelet/IMG_0424-1-_ee300501_JPG.rf.08f7d4da4a9f7c669a971bfb3256f7e3.jpg,IMG_0424-1-_ee300501,Bracelet,0,train,dataset1
DS1_IMG_000002,train/Bracelet/IMG_0424-1-_ee300501_JPG.rf.38da83cd76ca06aabfae82d7305bd62f.jpg,IMG_0424-1-_ee300501,Bracelet,0,train,dataset1
DS1_IMG_000003,train/Bracelet/IMG_0424-1-_ee300501_JPG.rf.b3b5ef8156c1bcbdf0f952662f401ddf.jpg,IMG_0424-1-_ee300501,Bracelet,0,train,dataset1
DS1_IMG_000004,train/Bracelet/IMG_0425-1-_0d7c9614_JPG.rf.6a407050233dde4005cd6ca9a9fa1a79.jpg,IMG_0425-1-_0d7c9614,Bracelet,0,train,dataset1
DS1_IMG_000005,train/Bracelet/IMG_0425-1-_0d7c9614_JPG.rf.aa35bfabb80e1c5e21f3b39a0ead6b8b.jpg,IMG_0425-1-_0d7c9614,Bracelet,0,train,dataset1
DS1_IMG_000006,train/Bracelet/IMG_0425-1-_0d7c9614_JPG.rf.c42d5d7d59a537db056379d5ee4475cb.jpg,IMG_0425-1-_0d7c9614,Bracelet,0,train,dataset1
DS1_IMG_000007,train/Bracelet/IMG_0425-1-_ffe4ecb4_jpg.rf.987ca7b20eae679ecb793051cc526901.jpg,IMG_0425-1-_ffe4ecb4,Bracelet,0,train,dataset1
DS1_IMG_000008,train/Bracelet/IMG_0425-1-_ffe4ecb4_jpg.rf.acb35e2641593efcc4dcfc865a6aee31.jpg,IMG_0425-1-_ffe4ecb4,Bracelet,0,train,dataset1
DS1_IMG_000009,train/Bracelet/IMG_0425-1-_ffe4ecb4_jpg.rf.add52a4ac72acd18e32af3291f5eaf01.jpg,IMG_0425-1-_ffe4ecb4,Bracelet,0,train,dataset1
DS1_IMG_000010,train/Bracelet/IMG_0428_18d789de_jpg.rf.2a608aecffea3d5b3b18ebf13d8a180d.jpg,IMG_0428_18d789de,Bracelet,0,train,dataset1
DS1_IMG_000011,train/Bracelet/IMG_0428_18d789de_jpg.rf.369513e7af3cd83464131c3bf67e8e31.jpg,IMG_0428_18d789de,Bracelet,0,train,dataset1
DS1_IMG_000012,train/Bracelet/IMG_0428_18d789de_jpg.rf.b50e2be19c7436ab779c41b96c46fe8c.jpg,IMG_0428_18d789de,Bracelet,0,train,dataset1
