pair_id,image_id_1,image_id_2,group_id_1,group_id_2,category_id_1,category_id_2,category_1,category_2,split,label,pair_type,negative_type
DS1_IMG_000001__DS1_IMG_000002,DS1_IMG_000001,DS1_IMG_000002,IMG_0424-1-_ee300501,IMG_0424-1-_ee300501,0,0,Bracelet,Bracelet,train,1,positive,
DS1_IMG_000001__DS1_IMG_000003,DS1_IMG_000001,DS1_IMG_000003,IMG_0424-1-_ee300501,IMG_0424-1-_ee300501,0,0,Bracelet,Bracelet,train,1,positive,
DS1_IMG_000001__DS1_IMG_000171,DS1_IMG_000001,DS1_IMG_000171,IMG_0424-1-_ee300501,IMG_2409_04d9f307,0,0,Bracelet,Bracelet,train,0,negative,same_category
DS1_IMG_000001__DS1_IMG_000214,DS1_IMG_000001,DS1_IMG_000214,IMG_0424-1-_ee300501,IMG_2527_ccfe7f9f,0,0,Bracelet,Bracelet,train,0,negative,same_category
DS1_IMG_000001__DS1_IMG_002570,DS1_IMG_000001,DS1_IMG_002570,IMG_0424-1-_ee300501,IMG_1871_019335e4,0,2,Bracelet,Necklace,train,0,negative,cross_category
DS1_IMG_000001__DS1_IMG_003080,DS1_IMG_000001,DS1_IMG_003080,IMG_0424-1-_ee300501,IMG_3110_e8631d85,0,2,Bracelet,Necklace,train,0,negative,cross_category
DS1_IMG_000001__DS1_IMG_003876,DS1_IMG_000001,DS1_IMG_003876,IMG_0424-1-_ee300501,IMG_2860_b5be60fb,0,3,Bracelet,Pendant,train,0,negative,cross_category
DS1_IMG_000002__DS1_IMG_000003,DS1_IMG_000002,DS1_IMG_000003,IMG_0424-1-_ee300501,IMG_0424-1-_ee300501,0,0,Bracelet,Bracelet,train,1,positive,
DS1_IMG_000002__DS1_IMG_000925,DS1_IMG_000002,DS1_IMG_000925,IMG_0424-1-_ee300501,UE04341-YG00P0_1_lar,0,1,Bracelet,Earrings,train,0,negative,cross_category
DS1_IMG_000003__DS1_IMG_000664,DS1_IMG_000003,DS1_IMG_000664,IMG_0424-1-_ee300501,bracelet_232,0,0,Bracelet,Bracelet,train,0,negative,same_category
DS1_IMG_000003__DS1_IMG_001338,DS1_IMG_000003,DS1_IMG_001338,IMG_0424-1-_ee300501,earring_52,0,1,Bracelet,Earrings,train,0,negative,cross_category
DS1_IMG_000004__DS1_IMG_000005,DS1_IMG_000004,DS1_IMG_000005,IMG_0425-1-_0d7c9614,IMG_0425-1-_0d7c9614,0,0,Bracelet,Bracelet,train,1,positive,
DS1_IMG_000004__DS1_IMG_000006,DS1_IMG_000004,DS1_IMG_000006,IMG_0425-1-_0d7c9614,IMG_0425-1-_0d7c9614,0,0,Bracelet,Bracelet,train,1,positive,
DS1_IMG_000004__DS1_IMG_000751,DS1_IMG_000004,DS1_IMG_000751,IMG_0425-1-_0d7c9614,pulseira-masculina-em-prata-cartier3,0,0,Bracelet,Bracelet,train,0,negative,same_category
DS1_IMG_000004__DS1_IMG_001397,DS1_IMG_000004,DS1_IMG_001397,IMG_0425-1-_0d7c9614,images-24-,0,1,Bracelet,Earrings,train,0,negative,cross_category
DS1_IMG_000005__DS1_IMG_000006,DS1_IMG_000005,DS1_IMG_000006,IMG_0425-1-_0d7c9614,IMG_0425-1-_0d7c9614,0,0,Bracelet,Bracelet,train,1,positive,
DS1_IMG_000005__DS1_IMG_000307,DS1_IMG_000005,DS1_IMG_000307,IMG_0425-1-_0d7c9614,Screenshot_20181125-115332_1544080274502,0,0,Bracelet,Bracelet,train,0,negative,same_category
DS1_IMG_000005__DS1_IMG_002437,DS1_IMG_000005,DS1_IMG_002437,IMG_0425-1-_0d7c9614,IMG_1580_b78f12f1,0,2,Bracelet,Necklace,train,0,negative,cross_category
DS1_IMG_000006__DS1_IMG_001940,DS1_IMG_000006,DS1_IMG_001940,IMG_0425-1-_0d7c9614,IMG_0568_75bfef59,0,2,Bracelet,Necklace,train,0,negative,cross_category
DS1_IMG_000007__DS1_IMG_000008,DS1_IMG_000007,DS1_IMG_000008,IMG_0425-1-_ffe4ecb4,IMG_0425-1-_ffe4ecb4,0,0,Bracelet,Bracelet,train,1,positive,
DS1_IMG_000007__DS1_IMG_000009,DS1_IMG_000007,DS1_IMG_000009,IMG_0425-1-_ffe4ecb4,IMG_0425-1-_ffe4ecb4,0,0,Bracelet,Bracelet,train,1,positive,
DS1_IMG_000007__DS1_IMG_002024,DS1_IMG_000007,DS1_IMG_002024,IMG_0425-1-_ffe4ecb4,IMG_0603-1-_5c5083d3,0,2,Bracelet,Necklace,train,0,negative,cross_category
DS1_IMG_000008__DS1_IMG_000009,DS1_IMG_000008,DS1_IMG_000009,IMG_0425-1-_ffe4ecb4,IMG_0425-1-_ffe4ecb4,0,0,Bracelet,Bracelet,train,1,positive,
DS1_IMG_000008__DS1_IMG_000570,DS1_IMG_000008,DS1_IMG_000570,IMG_0425-1-_ffe4ecb4,bracelet_168,0,0,Bracelet,Bracelet,train,0,negative,same_category
DS1_IMG_000008__DS1_IMG_003701,DS1_IMG_000008,DS1_IMG_003701,IMG_0425-1-_ffe4ecb4,IMG_0673_a51773cc,0,3,Bracelet,Pendant,train,0,negative,cross_category
DS1_IMG_000008__DS1_IMG_003754,DS1_IMG_000008,DS1_IMG_003754,IMG_0425-1-_ffe4ecb4,IMG_0901_5a140477,0,3,Bracelet,Pendant,train,0,negative,cross_category
DS1_IMG_000009__DS1_IMG_001696,DS1_IMG_000009,DS1_IMG_001696,IMG_0425-1-_ffe4ecb4,IMG_0407_ec7ab43a,0,2,Bracelet,Necklace,train,0,negative,cross_category
DS1_IMG_000009__DS1_IMG_001780,DS1_IMG_000009,DS1_IMG_001780,IMG_0425-1-_ffe4ecb4,IMG_0471-1-_8fce9a01,0,2,Bracelet,Necklace,train,0,negative,cross_category
DS1_IMG_000009__DS1_IMG_002229,DS1_IMG_000009,DS1_IMG_002229,IMG_0425-1-_ffe4ecb4,IMG_1416_f7a2507a,0,2,Bracelet,Necklace,train,0,negative,cross_category
DS1_IMG_000010__DS1_IMG_000011,DS1_IMG_000010,DS1_IMG_000011,IMG_0428_18d789de,IMG_0428_18d789de,0,0,Bracelet,Bracelet,train,1,positive,
DS1_IMG_000010__DS1_IMG_000012,DS1_IMG_000010,DS1_IMG_000012,IMG_0428_18d789de,IMG_0428_18d789de,0,0,Bracelet,Bracelet,train,1,positive,
DS1_IMG_000010__DS1_IMG_000877,DS1_IMG_000010,DS1_IMG_000877,IMG_0428_18d789de,Screenshot_20181114-204401_1542264891668,0,1,Bracelet,Earrings,train,0,negative,cross_category
DS1_IMG_000011__DS1_IMG_000012,DS1_IMG_000011,DS1_IMG_000012,IMG_0428_18d789de,IMG_0428_18d789de,0,0,Bracelet,Bracelet,train,1,positive,
DS1_IMG_000011__DS1_IMG_000684,DS1_IMG_000011,DS1_IMG_000684,IMG_0428_18d789de,bracelet_242,0,0,Bracelet,Bracelet,train,0,negative,same_category
DS1_IMG_000011__DS1_IMG_003813,DS1_IMG_000011,DS1_IMG_003813,IMG_0428_18d789de,IMG_2457_895e154f,0,3,Bracelet,Pendant,train,0,negative,cross_category
DS1_IMG_000011__DS1_IMG_004140,DS1_IMG_000011,DS1_IMG_004140,IMG_0428_18d789de,ring_085,0,4,Bracelet,Ring,train,0,negative,cross_category
DS1_IMG_000012__DS1_IMG_000211,DS1_IMG_000012,DS1_IMG_000211,IMG_0428_18d789de,IMG_2525_700d9c6e,0,0,Bracelet,Bracelet,train,0,negative,same_category
DS1_IMG_000012__DS1_IMG_003989,DS1_IMG_000012,DS1_IMG_003989,IMG_0428_18d789de,necklace_20241125_122545_6063e3a7,0,3,Bracelet,Pendant,train,0,negative,cross_category
DS1_IMG_000013__DS1_IMG_000014,DS1_IMG_000013,DS1_IMG_000014,IMG_0429_94ddbe5a,IMG_0429_94ddbe5a,0,0,Bracelet,Bracelet,train,1,positive,
DS1_IMG_000013__DS1_IMG_000015,DS1_IMG_000013,DS1_IMG_000015,IMG_0429_94ddbe5a,IMG_0429_94ddbe5a,0,0,Bracelet,Bracelet,train,1,positive,
